iter	RMSE
0	4.860198863
1	4.524673755
2	4.222005742
3	3.954392047
4	3.709507566
5	3.498989327
6	3.318364014
7	3.151903569
8	3.004168075
9	2.882419241
10	2.776066451
11	2.67378522
12	2.587624845
13	2.51964134
14	2.46592526
15	2.411627996
16	2.370640834
17	2.323505598
18	2.280754786
19	2.250613368
20	2.226966187
21	2.205643614
22	2.182648873
23	2.163124638
24	2.148812239
25	2.117760964
26	2.10590677
27	2.087675991
28	2.075584651
29	2.061215026
30	2.046819917
31	2.036742605
32	2.027717026
33	2.01476665
34	2.005262196
35	1.999423044
36	1.992137476
37	1.987722935
38	1.979147051
39	1.974488052
40	1.965735608
41	1.960970552
42	1.955587705
43	1.951205119
44	1.950921606
45	1.948309591
46	1.940195145
47	1.937348446
48	1.936271681
49	1.9287397
50	1.92559042
51	1.921312897
52	1.918572739
53	1.917927308
54	1.910534123
55	1.904768763
56	1.904517304
57	1.899794432
58	1.893931545
59	1.891061132
60	1.890945965
61	1.888384206
62	1.885325605
63	1.883454002
64	1.878885548
65	1.876996057
66	1.874588752
67	1.872164094
68	1.870214086
69	1.868381905
70	1.863051016
71	1.861225313
72	1.860111237
73	1.855369476
74	1.853480054
75	1.851849009
76	1.849740443
77	1.847166718
78	1.846843018
79	1.844039236
80	1.838550165
81	1.838376374
82	1.836370079
83	1.834846273
84	1.833600844
85	1.832556976
86	1.826032218
87	1.822653032
88	1.819448983
89	1.816768565
90	1.815145822
91	1.814942726
92	1.812563605
93	1.80750206
94	1.805340976
95	1.80238917
96	1.794854191
97	1.794090956
98	1.792263605
99	1.791185072
100	1.789818079
101	1.789759467
102	1.785856763
103	1.784178516
104	1.774836319
105	1.774741615
106	1.773034696
107	1.771462048
108	1.770502917
109	1.766386391
110	1.764613078
111	1.76182592
112	1.756337996
113	1.754471946
114	1.752828032
115	1.752759303
116	1.751365576
117	1.748585434
118	1.746331465
119	1.745653565
120	1.740570579
121	1.739556917
122	1.735968794
123	1.73424887
124	1.732562327
125	1.731002619
126	1.729760807
127	1.728090721
128	1.726656804
129	1.720844539
130	1.72069821
131	1.716533463
132	1.714380311
133	1.711895023
134	1.711398934
135	1.71100586
136	1.710611351
137	1.707078036
138	1.703121115
139	1.699161043
140	1.69444694
141	1.693430604
142	1.691796664
143	1.689413131
144	1.688089329
145	1.687850394
146	1.687080164
147	1.685224792
148	1.680973301
149	1.674874286
150	1.674527403
151	1.672640072
152	1.671364301
153	1.668135336
154	1.665813909
155	1.661694744
156	1.660563871
157	1.658349028
158	1.654777212
159	1.652643858
160	1.65211129
161	1.651394309
162	1.64948786
163	1.648534409
164	1.648138054
165	1.646235585
166	1.645639656
167	1.642126768
168	1.641774227
169	1.640204895
170	1.639787929
171	1.638757741
172	1.635959363
173	1.634882812
174	1.632425749
175	1.632234566
176	1.631611526
177	1.63102516
178	1.630756993
179	1.627562689
180	1.626346924
181	1.626093975
182	1.624840001
183	1.623207366
184	1.619846316
185	1.614572065
186	1.613868791
187	1.61244801
188	1.611380812
189	1.609159573
190	1.608526683
191	1.608314227
192	1.605106376
193	1.59994833
194	1.599105238
195	1.597399172
196	1.595414156
197	1.595382547
198	1.595157263
199	1.592306324
200	1.588504648
201	1.588417595
202	1.587784105
203	1.585779692
204	1.584022542
205	1.583272641
206	1.582730966
207	1.581878418
208	1.580239572
209	1.579801822
210	1.579527006
211	1.579064246
212	1.576687137
213	1.576149032
214	1.575330522
215	1.571455148
216	1.570133645
217	1.565123873
218	1.565072214
219	1.56426558
220	1.56344215
221	1.561999848
222	1.560671432
223	1.557963693
224	1.555927124
225	1.554613953
226	1.553479759
227	1.551426273
228	1.550829056
229	1.550703976
230	1.548246745
231	1.546794501
232	1.54584849
233	1.545311613
234	1.543554327
235	1.543480245
236	1.543425652
237	1.54297134
238	1.54129069
239	1.540247986
240	1.538420499
241	1.533853955
242	1.533435344
243	1.533138058
244	1.530803601
245	1.530776393
246	1.53037116
247	1.523724485
248	1.523689046
249	1.523643863
250	1.52359827
251	1.523568153
252	1.519794357
253	1.519772935
254	1.518760326
255	1.51644751
256	1.510991731
257	1.509940439
258	1.509305973
259	1.505598183
260	1.505037703
261	1.504406824
262	1.499780555
263	1.499738426
264	1.499526801
265	1.499503876
266	1.49902543
267	1.498620856
268	1.494703916
269	1.493506
270	1.490428866
271	1.488228235
272	1.486550502
273	1.484618339
274	1.484588217
275	1.483827908
276	1.482261488
277	1.480815235
278	1.479986881
279	1.47551793
280	1.471149347
281	1.469824662
282	1.46944225
283	1.469320248
284	1.469212247
285	1.469140683
286	1.46910524
287	1.463495548
288	1.461589115
289	1.461392488
290	1.460956324
291	1.460858768
292	1.460828738
293	1.458955821
294	1.458530152
295	1.458440394
296	1.456109194
297	1.454579323
298	1.454548965
299	1.452683841
300	1.452440613
301	1.448559146
302	1.447279544
303	1.44703116
304	1.446624424
305	1.44657207
306	1.446503565
307	1.44648128
308	1.446460284
309	1.446426544
310	1.446388938
311	1.446131972
312	1.445284476
313	1.443089782
314	1.443070828
315	1.442827769
316	1.434840383
317	1.434436109
318	1.433667537
319	1.430721567
320	1.430678066
321	1.427390133
322	1.426410749
323	1.426384693
324	1.426377847
325	1.426226519
326	1.425599424
327	1.422216061
328	1.422059202
329	1.421283763
330	1.421221017
331	1.421074763
332	1.420879752
333	1.420822316
334	1.418180188
335	1.418054704
336	1.41784764
337	1.417287282
338	1.417144762
339	1.412892379
340	1.41138893
341	1.411358638
342	1.41019703
343	1.41007844
344	1.407022643
345	1.40692364
346	1.406315814
347	1.406189694
348	1.406082193
349	1.405825303
350	1.402998767
351	1.402594447
352	1.400823071
353	1.400728743
354	1.400404347
355	1.398967158
356	1.393120397
357	1.393105215
358	1.39125567
359	1.384258427
360	1.382980239
361	1.380908048
362	1.3805783
363	1.379421909
364	1.378671106
365	1.378541611
366	1.378423992
367	1.37786314
368	1.375820807
369	1.375805294
370	1.375760654
371	1.375751733
372	1.375345621
373	1.374306664
374	1.374271905
375	1.370563738
376	1.370494209
377	1.370415936
378	1.370338424
379	1.36835531
380	1.367115164
381	1.366990305
382	1.366873744
383	1.365546327
384	1.361573253
385	1.361500748
386	1.360866201
387	1.360727742
388	1.360217931
389	1.360085957
390	1.357020706
391	1.356988539
392	1.356802987
393	1.354475459
394	1.35439908
395	1.354079963
396	1.353992877
397	1.352952701
398	1.352898477
399	1.352810567
400	1.347855337
401	1.346968421
402	1.346647505
403	1.344027238
404	1.343333654
405	1.341416442
406	1.341361341
407	1.341300506
408	1.337656081
409	1.337559575
410	1.337139939
411	1.337116107
412	1.33571678
413	1.335668803
414	1.335644191
415	1.33564144
416	1.33559078
417	1.335461738
418	1.335450824
419	1.334932552
420	1.334771943
421	1.333737502
422	1.332550461
423	1.33249245
424	1.332487667
425	1.33143628
426	1.329291627
427	1.326831237
428	1.326799394
429	1.32362249
430	1.323492994
431	1.323352388
432	1.323349582
433	1.323302735
434	1.322960296
435	1.319447752
436	1.319411254
437	1.318131044
438	1.318108222
439	1.318080459
440	1.318005994
441	1.317730527
442	1.317660789
443	1.31763376
444	1.315125092
445	1.315108579
446	1.315045925
447	1.314716214
448	1.314614469
449	1.313131627
450	1.312448847
451	1.312186762
452	1.312114991
453	1.311777502
454	1.309431705
455	1.309322842
456	1.309313941
457	1.309284741
458	1.308682031
459	1.308625742
460	1.308599567
461	1.308508215
462	1.307053527
463	1.303346789
464	1.301893216
465	1.299756427
466	1.299533159
467	1.299521157
468	1.299462204
469	1.298512739
470	1.297679194
471	1.295740755
472	1.295612978
473	1.293731168
474	1.293353525
475	1.292752984
476	1.29244027
477	1.291384026
478	1.289324251
479	1.289303161
480	1.28905167
481	1.288945273
482	1.288863593
483	1.288853078
484	1.288640345
485	1.287720521
486	1.286063817
487	1.28459678
488	1.284219751
489	1.284208376
490	1.283196333
491	1.281454103
492	1.281258367
493	1.280995012
494	1.280627391
495	1.28018538
496	1.278675179
497	1.278671535
498	1.278661149
499	1.277445078
500	1.276214364
501	1.275242084
502	1.275150629
503	1.275088887
504	1.275067215
505	1.271957333
506	1.271774283
507	1.270836002
508	1.270783697
509	1.269734381
510	1.26718287
511	1.266869997
512	1.266514745
513	1.263193291
514	1.263158444
515	1.262991366
516	1.262621979
517	1.262601156
518	1.262509219
519	1.262048952
520	1.25913777
521	1.259050854
522	1.257880493
523	1.257823766
524	1.256610648
525	1.256154847
526	1.255790719
527	1.252529897
528	1.247654843
529	1.247391873
530	1.245262072
531	1.244431993
532	1.244351442
533	1.244327099
534	1.243473692
535	1.242964426
536	1.242856267
537	1.242786217
538	1.242161319
539	1.241307977
540	1.239441406
541	1.238931861
542	1.238850933
543	1.238738976
544	1.238538005
545	1.238455362
546	1.237772805
547	1.237728559
548	1.237125323
549	1.2335134
550	1.233273698
551	1.22831627
552	1.228304027
553	1.228280457
554	1.228114518
555	1.228104732
556	1.227854365
557	1.22778244
558	1.227776948
559	1.227696734
560	1.224949717
561	1.224944349
562	1.224221717
563	1.223350348
564	1.223337568
565	1.223303095
566	1.222458747
567	1.220629526
568	1.220569105
569	1.220557792
570	1.220322836
571	1.220305082
572	1.219622613
573	1.219580494
574	1.218829994
575	1.218802674
576	1.218326813
577	1.218303006
578	1.218178893
579	1.217609144
580	1.217282312
581	1.216388916
582	1.21637571
583	1.216266846
584	1.216257947
585	1.216246916
586	1.216246888
587	1.216083187
588	1.216066539
589	1.21596527
590	1.215958589
591	1.215933829
592	1.215108705
593	1.215094124
594	1.215093909
595	1.215066235
596	1.215056373
597	1.214756563
598	1.214739489
599	1.214587898
600	1.214477912
601	1.214182901
602	1.213115599
603	1.213090031
604	1.213082826
605	1.21260935
606	1.212603139
607	1.212540294
608	1.212409079
609	1.212320093
610	1.211733848
611	1.211708974
612	1.211611593
613	1.211583301
614	1.208622704
615	1.208599102
616	1.208554672
617	1.20854289
618	1.207708858
619	1.203303687
620	1.198643325
621	1.198617469
622	1.198445668
623	1.198430781
624	1.198102553
625	1.198097224
626	1.197835535
627	1.197826664
628	1.197709083
629	1.197699791
630	1.197694439
631	1.19674383
632	1.196734803
633	1.196524273
634	1.196296504
635	1.196275665
636	1.196154654
637	1.196132759
638	1.194938216
639	1.193353782
640	1.193349478
641	1.192773462
642	1.192771372
643	1.192746118
644	1.192375562
645	1.190932546
646	1.190923946
647	1.190161026
648	1.189815423
649	1.189716805
650	1.189680328
651	1.189674317
652	1.189650805
653	1.189297595
654	1.18929253
655	1.189214209
656	1.189193565
657	1.189188597
658	1.187818105
659	1.187802198
660	1.187142155
661	1.187101158
662	1.186858442
663	1.185352912
664	1.185349826
665	1.18472454
666	1.184715715
667	1.18411746
668	1.181976172
669	1.181772451
670	1.181745143
671	1.181390711
672	1.180771286
673	1.180621742
674	1.180613766
675	1.180606543
676	1.180283632
677	1.180122647
678	1.179340542
679	1.179327707
680	1.178487602
681	1.178354068
