iter	Passed	Remaining
0	36	36618
1	76	38071
2	109	36311
3	147	36834
4	187	37228
5	239	39728
6	279	39630
7	316	39209
8	359	39539
9	413	40931
10	469	42205
11	514	42325
12	561	42596
13	599	42243
14	638	41954
15	688	42359
16	728	42130
17	765	41787
18	804	41520
19	894	43842
20	947	44173
21	1019	45324
22	1061	45096
23	1111	45190
24	1155	45051
25	1203	45070
26	1260	45408
27	1326	46049
28	1379	46191
29	1424	46064
30	1474	46105
31	1523	46082
32	1566	45916
33	1608	45692
34	1656	45675
35	1695	45406
36	1735	45157
37	1784	45181
38	1846	45504
39	1894	45463
40	1937	45310
41	1986	45311
42	2032	45245
43	2076	45114
44	2121	45027
45	2167	44958
46	2216	44935
47	2258	44789
48	2304	44728
49	2366	44968
50	2409	44832
51	2446	44606
52	2508	44814
53	2550	44687
54	2590	44515
55	2637	44461
56	2688	44475
57	2733	44394
58	2785	44429
59	2839	44479
60	2876	44285
61	2911	44052
62	2946	43826
63	2999	43866
64	3049	43860
65	3093	43780
66	3143	43775
67	3207	43965
68	3285	44335
69	3337	44336
70	3381	44240
71	3425	44154
72	3467	44037
73	3529	44169
74	3570	44037
75	3613	43935
76	3650	43759
77	3705	43802
78	3752	43743
79	3794	43635
80	3842	43599
81	3910	43778
82	3959	43747
83	4008	43709
84	4053	43632
85	4097	43545
86	4140	43453
87	4198	43511
88	4244	43445
89	4287	43353
90	4341	43364
91	4380	43230
92	4422	43128
93	4470	43085
94	4514	43003
95	4554	42883
96	4600	42829
97	4643	42735
98	4690	42690
99	4735	42616
100	4773	42484
101	4810	42355
102	4856	42291
103	4908	42286
104	4946	42162
105	4987	42061
106	5044	42098
107	5086	42007
108	5123	41884
109	5163	41780
110	5224	41843
111	5271	41792
112	5318	41748
113	5367	41718
114	5421	41722
115	5513	42016
116	5568	42026
117	5619	42005
118	5664	41939
119	5718	41933
120	5761	41854
121	5805	41778
122	5850	41712
123	5903	41705
124	5946	41625
125	5987	41530
126	6043	41546
127	6089	41482
128	6132	41405
129	6177	41342
130	6232	41345
131	6298	41416
132	6353	41418
133	6403	41382
134	6441	41274
135	6483	41190
136	6525	41107
137	6584	41130
138	6622	41020
139	6667	40958
140	6719	40936
141	6770	40908
142	6811	40818
143	6849	40718
144	6894	40655
145	6944	40622
146	6983	40524
147	7023	40431
148	7067	40367
149	7112	40305
150	7157	40243
151	7202	40179
152	7252	40150
153	7307	40145
154	7349	40068
155	7418	40136
156	7480	40165
157	7530	40133
158	7583	40112
159	7625	40035
160	7668	39963
161	7765	40170
162	7806	40086
163	7844	39987
164	7881	39885
165	7948	39932
166	7987	39839
167	8029	39764
168	8066	39661
169	8110	39598
170	8149	39508
171	8197	39461
172	8233	39356
173	8283	39324
174	8321	39231
175	8366	39168
176	8417	39140
177	8464	39089
178	8498	38978
179	8547	38937
180	8592	38878
181	8636	38816
182	8676	38736
183	8721	38679
184	8786	38707
185	8827	38632
186	8866	38549
187	8912	38496
188	8959	38445
189	9000	38371
190	9035	38270
191	9088	38246
192	9146	38245
193	9193	38196
194	9241	38149
195	9289	38104
196	9339	38070
197	9378	37987
198	9424	37933
199	9473	37893
200	9532	37893
201	9581	37852
202	9619	37766
203	9663	37706
204	9710	37657
205	9754	37598
206	9799	37540
207	9853	37518
208	9886	37416
209	9932	37363
210	10014	37447
211	10069	37426
212	10117	37383
213	10160	37319
214	10212	37288
215	10247	37193
216	10293	37142
217	10345	37110
218	10396	37076
219	10451	37054
220	10513	37058
221	10562	37017
222	10612	36978
223	10665	36949
224	10723	36934
225	10772	36893
226	10818	36841
227	10873	36817
228	10920	36767
229	10959	36689
230	10993	36598
231	11045	36563
232	11084	36487
233	11125	36420
234	11168	36356
235	11221	36327
236	11261	36254
237	11308	36205
238	11365	36189
239	11420	36165
240	11457	36082
241	11497	36014
242	11531	35924
243	11585	35895
244	11632	35846
245	11690	35830
246	11750	35822
247	11785	35736
248	11824	35664
249	11863	35589
250	11919	35567
251	11960	35502
252	12001	35434
253	12045	35378
254	12091	35325
255	12132	35260
256	12166	35173
257	12205	35103
258	12286	35152
259	12323	35075
260	12363	35007
261	12412	34962
262	12474	34957
263	12516	34895
264	12559	34834
265	12610	34797
266	12658	34751
267	12710	34715
268	12767	34695
269	12825	34675
270	12887	34668
271	12953	34668
272	13006	34637
273	13066	34621
274	13116	34579
275	13171	34551
276	13230	34534
277	13274	34475
278	13319	34420
279	13352	34336
280	13407	34306
281	13446	34235
282	13487	34172
283	13541	34138
284	13593	34103
285	13636	34043
286	13676	33976
287	13725	33933
288	13775	33890
289	13822	33840
290	13859	33767
291	13926	33767
292	13979	33731
293	14026	33681
294	14066	33617
295	14113	33567
296	14151	33495
297	14187	33421
298	14224	33350
299	14278	33316
300	14317	33249
301	14371	33216
302	14427	33188
303	14471	33132
304	14535	33122
305	14572	33049
306	14625	33013
307	14660	32938
308	14699	32872
309	14755	32842
310	14807	32805
311	14864	32778
312	14929	32768
313	14971	32707
314	15019	32662
315	15068	32616
316	15121	32579
317	15171	32536
318	15218	32488
319	15275	32460
320	15320	32405
321	15367	32357
322	15411	32301
323	15466	32269
324	15512	32218
325	15548	32146
326	15587	32080
327	15649	32062
328	15704	32029
329	15764	32006
330	15827	31990
331	15882	31957
332	15934	31916
333	15987	31880
334	16026	31812
335	16086	31790
336	16145	31764
337	16194	31718
338	16242	31670
339	16292	31626
340	16351	31599
341	16403	31560
342	16467	31543
343	16528	31520
344	16569	31458
345	16624	31424
346	16683	31394
347	16760	31400
348	16804	31346
349	16855	31303
350	16894	31238
351	16942	31190
352	16989	31139
353	17026	31071
354	17070	31015
355	17114	30959
356	17154	30897
357	17211	30865
358	17262	30822
359	17307	30768
360	17356	30723
361	17398	30663
362	17434	30594
363	17474	30532
364	17523	30485
365	17569	30434
366	17608	30370
367	17647	30306
368	17699	30266
369	17741	30208
370	17778	30142
371	17812	30071
372	17865	30031
373	17903	29967
374	17944	29906
375	17979	29838
376	18018	29775
377	18068	29731
378	18132	29710
379	18189	29677
380	18232	29622
381	18269	29555
382	18305	29489
383	18354	29444
384	18404	29399
385	18449	29346
386	18485	29280
387	18522	29216
388	18570	29169
389	18612	29111
390	18653	29054
391	18698	29001
392	18752	28963
393	18794	28906
394	18835	28849
395	18871	28784
396	18922	28740
397	18988	28720
398	19027	28660
399	19071	28606
400	19119	28559
401	19165	28509
402	19213	28462
403	19247	28395
404	19301	28356
405	19351	28312
406	19397	28262
407	19455	28229
408	19503	28182
409	19548	28130
410	19582	28063
411	19638	28028
412	19687	27981
413	19722	27916
414	19773	27872
415	19836	27847
416	19888	27806
417	19937	27759
418	19988	27716
419	20034	27666
420	20078	27614
421	20120	27557
422	20170	27514
423	20210	27455
424	20263	27415
425	20331	27394
426	20372	27338
427	20413	27282
428	20457	27228
429	20504	27179
430	20543	27121
431	20594	27078
432	20628	27012
433	20684	26976
434	20724	26918
435	20769	26867
436	20811	26811
437	20864	26771
438	20903	26713
439	20941	26653
440	20981	26596
441	21036	26557
442	21072	26495
443	21108	26432
444	21152	26380
445	21223	26362
446	21284	26332
447	21332	26284
448	21381	26239
449	21443	26209
450	21482	26150
451	21519	26089
452	21554	26027
453	21604	25982
454	21648	25931
455	21701	25889
456	21760	25855
457	21808	25808
458	21844	25746
459	21880	25685
460	21944	25657
461	21994	25612
462	22043	25566
463	22106	25536
464	22167	25505
465	22226	25469
466	22281	25430
467	22330	25384
468	22384	25343
469	22441	25306
470	22506	25278
471	22553	25229
472	22600	25180
473	22651	25136
474	22705	25095
475	22753	25048
476	22787	24985
477	22843	24946
478	22888	24895
479	22928	24839
480	22969	24784
481	23026	24745
482	23063	24687
483	23109	24637
484	23161	24593
485	23211	24549
486	23248	24489
487	23292	24438
488	23348	24398
489	23391	24346
490	23445	24305
491	23522	24287
492	23596	24266
493	23638	24212
494	23687	24166
495	23739	24122
496	23780	24067
497	23817	24008
498	23856	23951
499	23912	23912
500	23948	23852
501	23982	23791
502	24029	23742
503	24080	23698
504	24125	23647
505	24169	23596
506	24213	23545
507	24276	23511
508	24325	23465
509	24363	23408
510	24414	23363
511	24468	23321
512	24519	23277
513	24569	23231
514	24624	23190
515	24670	23140
516	24726	23100
517	24786	23063
518	24830	23012
519	24865	22952
520	24905	22897
521	24959	22855
522	24995	22797
523	25047	22752
524	25087	22698
525	25135	22650
526	25171	22592
527	25209	22535
528	25254	22485
529	25311	22446
530	25359	22398
531	25394	22339
532	25442	22292
533	25492	22245
534	25540	22198
535	25579	22143
536	25638	22105
537	25681	22053
538	25722	21999
539	25773	21955
540	25849	21931
541	25884	21872
542	25923	21818
543	25976	21774
544	26024	21726
545	26066	21674
546	26102	21617
547	26166	21582
548	26208	21530
549	26252	21479
550	26300	21432
551	26363	21396
552	26404	21343
553	26448	21292
554	26497	21246
555	26546	21198
556	26605	21160
557	26655	21113
558	26705	21068
559	26771	21034
560	26833	20998
561	26886	20954
562	26927	20900
563	26976	20853
564	27055	20829
565	27094	20775
566	27139	20725
567	27177	20670
568	27212	20612
569	27257	20562
570	27310	20519
571	27344	20460
572	27378	20402
573	27417	20347
574	27466	20301
575	27521	20258
576	27569	20211
577	27650	20187
578	27710	20148
579	27764	20105
580	27803	20050
581	27851	20003
582	27889	19948
583	27929	19894
584	27975	19845
585	28021	19797
586	28039	19727
